Time,Barometric,Humidity,Temperature,Solar,Battery
2014-9-15 20:23:0,1008.49,40.80,22,0,1
2014-9-15 20:24:0,1008.55,41.30,21,0,1
2014-9-15 20:25:0,1008.54,41.20,21,0,0
2014-9-15 20:26:0,1008.55,42.90,21,0,1
2014-9-15 20:27:0,1008.53,44.70,20,0,0
2014-9-15 20:28:0,1008.48,46.20,20,0,0
2014-9-15 20:29:0,1008.54,47.50,20,0,0
2014-9-15 20:30:0,1008.54,48.70,20,0,1
2014-9-15 20:31:0,1008.51,49.60,20,0,0
2014-9-15 20:32:0,1008.51,50.40,20,0,0
2014-9-15 20:33:0,1008.43,50.90,20,0,0
2014-9-15 20:34:0,1008.44,51.40,19,0,0
2014-9-15 20:35:0,1008.51,51.90,19,0,0
2014-9-15 20:36:0,1008.46,52.30,19,0,0
2014-9-15 20:37:0,1008.44,52.50,19,0,0
2014-9-15 20:38:0,1008.37,52.60,19,0,0
2014-9-15 20:39:0,1008.39,52.90,19,0,1
2014-9-15 20:40:0,1008.39,53.00,19,0,1
2014-9-15 20:41:0,1008.32,53.20,19,0,1
2014-9-15 20:42:0,1008.35,53.50,19,0,0
2014-9-15 20:43:0,1008.35,53.60,19,0,0
2014-9-15 20:44:0,1008.25,53.70,19,0,0
2014-9-15 20:45:0,1008.29,53.80,19,0,1
2014-9-15 20:46:0,1008.25,53.80,19,0,1
2014-9-15 20:47:0,1008.29,53.90,19,0,1
2014-9-15 20:48:0,1008.32,54.00,19,0,0
2014-9-15 20:49:0,1008.25,54.00,19,0,0
2014-9-15 20:50:0,1008.25,54.10,19,0,0
2014-9-15 20:51:0,1008.23,54.20,19,0,0
2014-9-15 20:52:0,1008.29,54.10,19,0,1
2014-9-15 20:53:0,1008.20,54.30,19,0,0
2014-9-15 20:54:0,1008.21,54.10,19,0,0
2014-9-15 20:55:0,1008.20,54.20,19,0,1
2014-9-15 20:56:0,1008.18,54.20,19,0,0
2014-9-15 20:57:0,1008.17,54.20,19,0,0
2014-9-15 20:58:0,1008.19,54.30,19,0,0
2014-9-15 20:59:0,1008.18,54.20,19,0,0
2014-9-15 21:0:0,1008.15,54.30,19,0,1
2014-9-15 21:1:0,1008.09,54.20,19,0,1
2014-9-15 21:2:0,1008.17,54.20,19,0,0
2014-9-15 21:3:0,1008.10,54.30,19,0,0
2014-9-15 21:4:0,1008.18,54.30,19,0,0
2014-9-15 21:5:0,1008.18,54.10,19,0,0
2014-9-15 21:6:0,1008.16,54.20,19,0,1
2014-9-15 21:7:0,1008.18,54.20,19,0,1
2014-9-15 21:8:0,1008.16,54.20,19,0,0
2014-9-15 21:9:0,1008.17,54.20,19,0,0
2014-9-15 21:10:0,1008.17,54.10,19,0,0
2014-9-15 21:11:0,1008.18,54.00,19,0,0
2014-9-15 21:12:0,1008.30,54.00,19,0,0